X [mm], Y [mm], Z [mm], Heading [degrees], Timestamp [ms], Frame
2191.85, -111.303, 88.2956, 152.813, 57.384128, 799788
2191.85, -111.308, 88.303, 152.816, 146.161984, 799797
2191.85, -111.273, 88.271, 152.814, 242.668032, 799807
2191.85, -111.293, 88.2925, 152.809, 343.243200, 799817
2191.86, -111.289, 88.2956, 152.818, 437.334368, 799826
2191.86, -111.296, 88.2672, 152.814, 530.035520, 799836
2191.86, -111.309, 88.2947, 152.815, 621.898848, 799845
2191.86, -111.302, 88.2939, 152.815, 711.795872, 799854
2191.86, -111.3, 88.2706, 152.815, 802.403968, 799863
2191.86, -111.303, 88.278, 152.816, 892.272064, 799872
2191.86, -111.306, 88.2717, 152.817, 980.823648, 799881
2188.6, -116.946, 88.7483, 152.579, 1071.033472, 799890
2180.93, -132.229, 88.7799, 152.253, 1160.419680, 799899
2170.17, -154.496, 88.889, 152.022, 1240.930656, 799907
2153.69, -188.432, 89.0357, 151.788, 1337.426272, 799916
2132.91, -231.356, 89.6987, 151.861, 1430.059552, 799926
2113.79, -272.888, 89.1897, 152.545, 1522.813280, 799935
2090.84, -320.644, 89.7493, 152.458, 1625.260832, 799945
2068.65, -368.236, 90.4069, 152.619, 1727.628544, 799955
2044.58, -419.586, 91.0345, 152.764, 1831.022272, 799966
2024.14, -464.712, 91.534, 153.228, 1939.300608, 799976
2004.05, -508.889, 91.9966, 153.538, 2043.728736, 799987
1986.88, -548.847, 92.0748, 153.209, 2153.160224, 799998
1972.97, -580.563, 92.2493, 153.309, 2258.641760, 800008
1958.93, -611.485, 92.7949, 153.502, 2367.963488, 800019
1949.42, -633.208, 92.9921, 153.556, 2447.678528, 800027
1939.07, -644.976, 107.321, -152.918, 2556.705472, 800038
1928.73, -683.529, 93.468, 154.038, 2664.363200, 800049
1919.43, -704.609, 93.8532, 154.007, 2769.283904, 800059
1909.48, -712.462, 108.451, -152.982, 2875.449376, 800070
1899.54, -749.984, 94.1734, 153.933, 2980.273408, 800081
1890.44, -770.515, 94.5611, 153.972, 3084.885184, 800091
1880.7, -791.505, 94.9256, 153.67, 3189.197408, 800101
1870.97, -799.643, 109.25, -152.872, 3293.661472, 800112
1864.61, -820.743, 108.659, -153.568, 3395.816320, 800122
1853.44, -855.79, 95.3409, 154.327, 3499.187552, 800132
1840.24, -862.68, 111.853, -151.063, 3601.470336, 800143
1833.31, -879.156, 111.874, -151.113, 3681.567008, 800151
1827.38, -915.179, 95.7757, 154.025, 3787.897280, 800161
1818.11, -937.718, 96.2252, 153.8, 3891.431552, 800172
1808.7, -958.667, 96.4744, 153.797, 3995.200736, 800182
1800.36, -979.34, 96.0491, 154.02, 4097.421792, 800192
1788.5, -1001.87, 97.6793, 154.854, 4202.115968, 800203
1775.75, -1021.38, 99.3357, 156.137, 4304.695680, 800213
1771.7, -1040.1, 95.6197, 156.383, 4409.390976, 800223
1764.08, -1062.39, 94.8259, 156.574, 4515.013760, 800234
1753.61, -1085.33, 94.9856, 156.554, 4620.469952, 800245
1744.61, -1105.94, 94.7947, 156.483, 4724.758272, 800255
1734.28, -1131.54, 98.1062, 151.949, 4828.501280, 800265
1728.49, -1150.36, 83.6196, 149.283, 4907.532096, 800273
1711.78, -1169.34, 98.6117, 148.033, 5013.716256, 800284
1696.42, -1172.69, 116.527, -144.026, 5117.445216, 800294
1685.07, -1191.63, 117.077, -143.67, 5219.967392, 800304
1674.05, -1208.03, 118.247, -133.268, 5323.613216, 800315
1663.3, -1222.59, 118.341, -125.195, 5426.517152, 800325
1644.45, -1254.12, 101.692, 128.888, 5536.533216, 800336
1624.86, -1268.8, 102.314, 124.941, 5646.620288, 800347
1570.17, -1300.7, 107.352, -60.8223, 5748.144928, 800357
1550.22, -1313.45, 107.559, -61.3171, 5857.378880, 800368
1523.54, -1330.06, 107.561, -61.2992, 5990.345344, 800382
1541.07, -1324.65, 103.419, 121.555, 6101.778464, 800393
1527.15, -1334.51, 102.888, 122.403, 6180.839328, 800401
1505.36, -1346.38, 102.114, 121.076, 6294.603328, 800412
1487.24, -1351.76, 108.601, -118.297, 6406.550784, 800423
1461.88, -1375.34, 103.879, 121.049, 6512.505568, 800434
1447.2, -1377.75, 109.535, -118.205, 6618.830336, 800444
1421.51, -1401.58, 103.533, 120.478, 6723.260096, 800455
1399.38, -1415.32, 103.721, 120.343, 6831.985792, 800466
1380.93, -1427.49, 103.936, 120.509, 6935.098496, 800476
1361.24, -1439.53, 103.972, 120.382, 7039.240864, 800486
1340.45, -1453.24, 104.558, 120.845, 7142.592704, 800497
1321.36, -1465.18, 104.852, 120.84, 7245.330784, 800507
1299.77, -1479.15, 105.142, 120.586, 7350.445504, 800518
1285.95, -1487.87, 105.232, 120.466, 7429.099424, 800525
1264.86, -1500.94, 105.568, 120.564, 7536.384672, 800536
1243.29, -1515.11, 105.836, 120.669, 7640.682080, 800547
1224.44, -1527.07, 106.335, 120.669, 7746.737952, 800557
1204.64, -1539.81, 106.536, 120.585, 7849.870976, 800567
1184.43, -1553.39, 106.659, 120.849, 7953.620032, 800578
1165.15, -1565.75, 107.058, 120.749, 8055.252544, 800588
1142.99, -1580.07, 107.498, 120.727, 8161.030368, 800599
1122.91, -1590.01, 107.938, 112.25, 8264.230688, 800609
1095.62, -1597.71, 109.307, 104.012, 8372.014368, 800620
1071.66, -1604.73, 109.628, 102.702, 8475.620352, 800630
1044.91, -1611.6, 110.266, 102.536, 8584.656960, 800641
1024.99, -1616.29, 110.39, 102.399, 8663.936448, 800649
997.796, -1623.36, 111.193, 102.369, 8773.623872, 800660
964.956, -1631.28, 111.664, 102.272, 8906.657632, 800673
936.217, -1639.06, 111.976, 102.382, 9018.822112, 800684
906.22, -1646.05, 112.441, 102.365, 9129.387104, 800695
873.35, -1654.25, 113.266, 102.17, 9234.948128, 800706
839.577, -1662.33, 114.057, 102.355, 9342.746656, 800717
803.574, -1671.03, 114.865, 102.242, 9450.468672, 800728
770.908, -1679.62, 115.631, 102.291, 9554.917984, 800738
734.807, -1688.93, 116.078, 102.314, 9662.888960, 800749
699.097, -1698.04, 117.046, 102.272, 9769.862784, 800760
666.293, -1705.71, 117.706, 102.141, 9874.840576, 800770
639.945, -1712.51, 118.536, 102.102, 9954.650912, 800778
603.558, -1721.77, 118.983, 101.974, 10061.671808, 800789
567.482, -1730.89, 119.852, 102.157, 10170.661600, 800800
531.581, -1739.94, 120.032, 102.127, 10283.215520, 800811
498.615, -1746.73, 120.708, 98.1642, 10388.451872, 800821
462.136, -1751.63, 121.529, 94.0693, 10492.780256, 800832
425.692, -1755.47, 122.122, 93.3895, 10601.438304, 800843
391.914, -1758.62, 122.558, 93.4252, 10708.866304, 800853
355.406, -1761.99, 123.34, 93.2775, 10814.287168, 800864
318.133, -1765.09, 123.697, 93.055, 10924.943392, 800875
