X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Timestamp [ms], Frame
762.727, 1457.5, 115.51, -136.092, 1.17211, 0.49078, 121.209351, 31157
762.733, 1457.48, 115.507, -136.096, 1.16837, 0.510151, 245.670038, 31170
762.72, 1457.49, 115.498, -136.094, 1.16698, 0.500312, 378.085774, 31184
762.713, 1457.5, 115.502, -136.096, 1.1714, 0.495893, 510.387718, 31197
762.712, 1457.5, 115.505, -136.093, 1.16362, 0.500334, 646.246981, 31210
762.709, 1457.41, 115.539, -136.148, 1.16978, 0.462611, 778.263327, 31224
775.547, 1444.16, 115.161, -136.471, 1.09422, 0.453423, 915.239703, 31237
800.055, 1420.04, 114.395, -136.509, 1.21822, 0.534224, 1045.677948, 31250
812.953, 1407.65, 113.994, -136.577, 1.07869, 0.534389, 1178.418097, 31264
813.102, 1407.48, 113.945, -136.549, 1.05246, 0.533697, 1313.662069, 31277
813.174, 1407.41, 113.962, -136.535, 1.05258, 0.538043, 1413.737937, 31287
818.753, 1401.17, 113.882, -137.032, 0.999382, 0.49558, 1536.581612, 31299
839.263, 1380.79, 113.751, -137.157, 1.0005, 0.539355, 1658.404398, 31312
863.477, 1356.32, 112.928, -136.96, 0.88199, 0.83904, 1777.829313, 31323
891.249, 1329.28, 111.957, -136.735, 0.795899, 0.877943, 1879.926095, 31334
925.645, 1295.93, 110.925, -136.537, 0.701032, 0.928905, 2009.970584, 31347
952.299, 1270.01, 110.298, -136.335, 0.586574, 0.949624, 2112.108485, 31357
987.505, 1235.95, 109.51, -136.039, 0.678364, 0.975821, 2240.733559, 31370
1015.04, 1209.47, 108.667, -135.789, 0.829138, 1.05584, 2343.348642, 31380
1045.29, 1181.18, 108.171, -135.621, 0.0628912, 1.71699, 2472.076819, 31391
1077.8, 1150.62, 107.285, -135.69, -0.113477, 1.84215, 2574.175489, 31403
1113.1, 1117.23, 106.329, -135.528, -0.0134483, 1.70256, 2703.025425, 31416
1140.27, 1091.52, 105.613, -135.564, 0.0909491, 1.78472, 2805.346878, 31426
1175.36, 1058.52, 104.369, -135.528, -0.00301899, 1.82463, 2934.139759, 31439
1201.86, 1033.19, 103.586, -135.375, -0.028991, 1.69474, 3036.315036, 31449
1230.45, 1005.73, 102.882, -135.541, 0.0200029, 1.70238, 3142.421614, 31460
1257.42, 980.069, 102.099, -135.442, 0.0175597, 1.71823, 3246.535149, 31470
1284.85, 953.878, 100.398, -135.126, 0.993981, 0.944823, 3347.214341, 31480
1320.48, 920.903, 99.4945, -134.944, 0.818473, 0.950269, 3475.719448, 31493
1350.41, 893.001, 98.6216, -134.774, 0.746048, 0.847239, 3578.011141, 31504
1383.78, 862.058, 97.6015, -134.541, 0.993729, 0.764785, 3706.420856, 31516
1414.7, 833.684, 96.8123, -134.489, 0.907591, 0.82613, 3810.851574, 31527
1439.61, 811.137, 96.1856, -134.305, 0.751348, 0.862445, 3911.301071, 31536
1470.09, 783.954, 96.0742, -134.221, -0.100679, 1.63935, 4011.331788, 31547
1497.27, 759.121, 95.371, -134.355, -0.208137, 1.54977, 4115.032174, 31557
1524.8, 733.669, 94.6957, -134.355, -0.108524, 1.56275, 4215.177866, 31567
1554.79, 704.503, 93.9492, -142.713, -0.0109022, 1.43603, 4343.765180, 31579
1580.9, 669.321, 93.3954, -150.956, 0.0356741, 1.25564, 4450.676072, 31591
1599.46, 640.532, 92.965, -152.056, 0.0972277, 1.1217, 4558.246895, 31601
1617.59, 609.872, 92.4687, -152.094, 0.308709, 1.23064, 4659.888385, 31612
1635.33, 579.524, 91.8704, -151.849, 0.160935, 1.15096, 4772.170246, 31623
1654.46, 546.436, 91.2316, -151.731, 0.102809, 1.18701, 4884.661931, 31634
1675.83, 509.32, 91.0301, -151.863, -0.00328086, 1.22984, 4995.643866, 31645
1696.25, 474.025, 90.3326, -151.635, 0.223243, 1.15351, 5101.269327, 31655
1719.78, 434.651, 89.7598, -151.306, 0.205148, 1.19775, 5203.350845, 31666
1734.87, 409.111, 89.0655, -151.224, 0.166077, 1.23359, 5306.766433, 31673
1763.02, 358.629, 88.4607, -156.186, 0.0210953, 1.00663, 5410.567875, 31687
1775.62, 326.743, 87.9292, -167.977, 0.210821, 0.834358, 5511.404058, 31697
1782.95, 296.752, 87.3336, -176.245, 0.244596, 1.03827, 5615.472826, 31707
1787.19, 268.121, 87.1657, -178.001, 0.300172, 0.929899, 5722.078504, 31718
1789.02, 240.677, 87.0693, -178.141, 0.298231, 0.913011, 5834.035568, 31729
1790.81, 213.897, 86.8567, -178.039, 0.327631, 0.870685, 5946.380373, 31740
1793.46, 176.323, 86.7277, -178.073, 0.503303, 1.05904, 6075.020007, 31753
1796.11, 137.486, 86.0871, -178.05, 0.422319, 0.782361, 6185.449082, 31764
1799.03, 94.1309, 85.4333, -178.058, 0.424756, 0.709569, 6292.016392, 31775
1801.81, 52.3065, 85.2998, -178.058, 0.560334, 0.68976, 6394.839281, 31785
1803.71, 7.54859, 83.6781, 175.339, 0.366817, -0.282478, 6503.309042, 31796
1800.93, -34.0459, 84.3317, 169.2, 0.498484, 0.85122, 6606.028763, 31806
1793.18, -83.9542, 82.909, 168.188, -0.0273273, -0.69109, 6711.715088, 31817
1784.35, -135.81, 82.8387, 168.229, 0.0780303, -0.0760187, 6819.234103, 31828
1776.13, -184.775, 83.2815, 168.499, -0.077197, 0.330355, 6926.524608, 31838
1767.5, -237.374, 82.7344, 168.551, -0.170475, 0.0760634, 7033.987720, 31849
1754.06, -296.734, 82.6861, 159.71, -0.0306402, 0.415543, 7161.836864, 31862
1736.12, -345.591, 83.457, 153.57, -0.0176288, 0.657299, 7276.977170, 31873
1714.52, -393.764, 83.7218, 152.375, -0.181399, 0.633551, 7385.849104, 31884
1698.15, -427.668, 83.6521, 152.305, -0.360093, 0.673158, 7491.573668, 31892
1669.78, -486.381, 84.0748, 152.123, -0.332373, 0.680127, 7597.524406, 31906
1647.75, -531.894, 84.0823, 152.354, -0.756951, 0.100625, 7712.341098, 31917
1622.89, -582.629, 85.2548, 152.188, -0.744624, -0.299587, 7836.343805, 31929
1601.2, -628.573, 85.4624, 152.234, -0.442914, 0.271689, 7946.126709, 31940
1578.89, -675.593, 85.7768, 152.576, -0.36735, 0.611999, 8055.400752, 31951
1556.77, -722.735, 86.4884, 153.015, -0.583321, 0.563325, 8159.406064, 31962
1535.3, -769.949, 87.2879, 153.32, -0.196556, 1.04112, 8267.837841, 31973
1496.6, -828.358, 83.0607, -125.077, 168.621, 9.26667, 8375.689142, 31983
1488.89, -869.005, 85.5829, 150.288, 1.17215, 0.364106, 8486.814596, 31994
1464.4, -912.227, 86.2314, 150.046, 1.2421, 0.39511, 8594.434187, 32003
1425.38, -972.669, 86.3971, 148.387, 2.47497, 0.750366, 8699.499652, 32016
1397.85, -1022.6, 88.3748, 149.476, 0.738136, 0.505316, 8806.276177, 32026
1367.55, -1077.03, 87.8145, 147.737, 1.41884, 0.307055, 8916.657028, 32037
1332.31, -1129.27, 88.7035, 144.251, 1.07924, 0.374165, 9024.909671, 32048
1294.96, -1181.32, 89.1834, 143.486, 0.874135, 0.688869, 9130.559131, 32059
1260.76, -1227.52, 89.8316, 143.4, 0.972457, 0.575445, 9237.096394, 32069
1226.42, -1273.66, 89.4642, 138.025, 0.992911, 0.583091, 9341.843557, 32080
1189.91, -1301.61, 92.415, 124.494, 0.351671, 0.739595, 9451.212863, 32091
1146.23, -1321.75, 93.4907, 115.482, 0.374236, 1.18036, 9566.545519, 32102
1100.26, -1337.15, 91.5362, 113.851, 2.61525, -0.656383, 9673.644762, 32111
1031.77, -1354.78, 96.1347, 113.167, 0.166277, 1.20344, 9785.766113, 32124
971.957, -1370.04, 93.7002, 113.106, 2.96604, -0.976789, 9909.846323, 32135
888.124, -1394.13, 95.8811, 113.084, 2.67645, -0.65844, 10039.707261, 32150
822.692, -1419.72, 96.8678, 113.013, 2.89442, -1.13362, 10154.419441, 32161
757.212, -1446.97, 98.5523, 109.482, 2.1668, -1.13211, 10263.011665, 32172
702.491, -1461.11, 103.706, 103.386, -0.381893, 1.45137, 10367.643277, 32182
657.563, -1466.4, 104.465, 97.7894, -0.287871, 1.1901, 10473.881310, 32193
648.428, -1467.59, 104.501, 97.102, -0.362475, 1.30842, 10581.818914, 32204
648.035, -1467.63, 104.512, 97.1353, -0.379102, 1.32624, 10689.045260, 32215
641.167, -1466.16, 104.515, 91.8354, -0.444389, 1.2372, 10792.722031, 32225
617.786, -1464.22, 104.948, 86.0359, -0.594646, 1.36591, 10909.065720, 32237
595.078, -1463.76, 105.213, 85.47, -0.525834, 1.29585, 11015.059978, 32247
564.732, -1462.48, 105.616, 85.5156, -0.420645, 1.21464, 11130.662808, 32259
525.614, -1458.95, 106.952, 85.9984, -0.92704, 1.25633, 11258.077555, 32271
472.991, -1456.58, 107.987, 85.8917, -0.741387, 1.37847, 11378.685662, 32284
434.14, -1455.1, 108.519, 86.2021, -0.756552, 1.10167, 11482.239554, 32293
372.611, -1452.24, 110.101, 85.9834, -0.735583, 1.20761, 11611.848781, 32307
337.806, -1450.16, 110.365, 77.8156, -0.759119, 1.46961, 11714.983987, 32316
297.611, -1442.65, 111.139, 68.6694, -0.722104, 1.80582, 11815.298990, 32327
260.713, -1426.52, 109.376, 69.7492, 2.76127, 1.6012, 11919.403054, 32338
226.517, -1413.35, 110.633, 69.6981, 2.6867, 1.66429, 12021.202238, 32348
192.295, -1399.75, 111.187, 69.7769, 2.67389, 1.63898, 12122.121844, 32358
155.032, -1385, 112.31, 69.901, 2.4206, 1.50444, 12229.962777, 32369
121.671, -1372.43, 112.994, 69.9483, 2.77488, 1.74953, 12335.707437, 32379
