X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Timestamp [ms], Frame
1065.83, 1072.2, 103.216, -120.87, -3.45373, 1.95096, 160.359666, 1609
1065.83, 1072.2, 103.195, -120.866, -3.43224, 1.95117, 280.160963, 1621
1065.82, 1072.2, 103.219, -120.866, -3.4407, 1.95466, 416.469822, 1635
1065.83, 1072.21, 103.222, -120.874, -3.45723, 1.96703, 548.138619, 1648
1065.83, 1072.23, 103.226, -120.878, -3.45601, 1.95848, 680.212117, 1661
1065.83, 1072.21, 103.232, -120.864, -3.45168, 1.96473, 817.235116, 1675
1065.84, 1072.21, 103.229, -120.882, -3.4382, 1.95364, 948.867593, 1688
1065.81, 1072.23, 103.231, -120.856, -3.44047, 1.96171, 1084.796775, 1702
1065.83, 1072.23, 103.207, -120.87, -3.44379, 1.95487, 1216.497508, 1715
1065.84, 1072.24, 103.201, -120.885, -3.43866, 1.95044, 1348.496670, 1728
1065.84, 1072.24, 103.213, -120.884, -3.45307, 1.9633, 1485.955538, 1742
1065.84, 1072.24, 103.216, -120.878, -3.46206, 1.95919, 1616.330712, 1755
1065.85, 1072.23, 103.208, -120.888, -3.47342, 1.95693, 1749.560137, 1768
1065.85, 1072.25, 103.215, -120.878, -3.4545, 1.96006, 1887.853079, 1782
1065.86, 1072.25, 103.211, -120.886, -3.45461, 1.95052, 2015.964077, 1795
1065.87, 1072.25, 103.213, -120.893, -3.4468, 1.94524, 2148.318853, 1808
1065.85, 1072.24, 103.203, -120.892, -3.47185, 1.95322, 2285.752793, 1822
1065.87, 1072.25, 103.187, -120.896, -3.46579, 1.96246, 2416.372829, 1835
1065.87, 1072.25, 103.205, -120.892, -3.4507, 1.95495, 2553.748305, 1848
1065.87, 1072.24, 103.193, -120.897, -3.45405, 1.95173, 2684.200759, 1862
1065.85, 1072.21, 103.184, -120.885, -3.49351, 1.96226, 2816.917452, 1875
1065.88, 1072.24, 103.207, -120.89, -3.45328, 1.95721, 2954.325888, 1888
1065.89, 1072.24, 103.212, -120.899, -3.47629, 1.96524, 3084.089514, 1902
1065.88, 1072.22, 103.212, -120.891, -3.44982, 1.94789, 3217.266332, 1915
1065.89, 1072.25, 103.202, -120.895, -3.45576, 1.95333, 3354.251443, 1929
1065.87, 1072.22, 103.21, -120.885, -3.47422, 1.95968, 3488.529694, 1942
1065.87, 1072.22, 103.217, -120.884, -3.46322, 1.96249, 3616.395349, 1955
1065.86, 1072.21, 103.22, -120.878, -3.46889, 1.96038, 3752.845168, 1968
1065.86, 1072.22, 103.225, -120.885, -3.45143, 1.95654, 3885.983618, 1982
1065.86, 1072.22, 103.214, -120.873, -3.44752, 1.95131, 4020.684522, 1995
1065.86, 1072.21, 103.221, -120.871, -3.4596, 1.96865, 4152.809507, 2008
1065.86, 1072.21, 103.2, -120.884, -3.467, 1.95572, 4285.234490, 2022
1065.86, 1072.2, 103.224, -120.874, -3.47081, 1.96172, 4420.975162, 2035
1065.85, 1072.2, 103.212, -120.874, -3.47725, 1.96791, 4552.834134, 2048
1065.85, 1072.2, 103.212, -120.875, -3.4713, 1.96284, 4691.656576, 2061
1065.84, 1072.2, 103.213, -120.865, -3.45818, 1.96034, 4820.171155, 2075
1065.86, 1072.19, 103.215, -120.867, -3.46558, 1.96495, 4953.602371, 2089
1065.85, 1072.21, 103.222, -120.875, -3.44596, 1.95308, 5093.483750, 2102
1065.85, 1072.19, 103.228, -120.871, -3.4434, 1.96043, 5220.052358, 2115
1065.85, 1072.2, 103.213, -120.875, -3.44968, 1.95399, 5352.229120, 2128
1075.9, 1064.72, 102.922, -121.772, -3.57778, 1.84609, 5489.807698, 2142
1123.16, 1027.38, 101.625, -123.804, -4.1405, 2.11788, 5620.528630, 2155
1197.97, 981.086, 103.068, -128.94, 0.173073, 1.77892, 5752.417489, 2168
1239.64, 954.402, 101.639, -129.205, 0.257224, 1.86791, 5857.553833, 2179
1251.15, 948.059, 101.607, -128.717, 0.227393, 1.69266, 5962.115430, 2189
1252.45, 947.248, 101.561, -128.737, 0.0367137, 1.78913, 6065.314348, 2200
1252.42, 947.184, 101.568, -128.712, 0.0454307, 1.79033, 6167.829623, 2210
1252.45, 947.256, 101.556, -128.732, 0.030868, 1.79402, 6268.783533, 2220
1252.7, 947.158, 101.655, -128.586, -0.0735711, 1.64305, 6397.408991, 2233
1276.45, 927.793, 100.993, -129.352, 0.107681, 1.4657, 6503.818030, 2244
1323.89, 889.279, 100.08, -130.118, 0.278759, 1.62447, 6628.528156, 2256
1355.3, 863.768, 98.5563, -129.112, 0.145303, 1.72295, 6749.384037, 2268
1360.82, 859.61, 98.576, -128.791, 0.049183, 1.57289, 6849.863743, 2278
1365.87, 855.585, 98.3947, -128.863, 0.150233, 1.60633, 6950.227609, 2288
1386.63, 840.27, 97.8663, -129.003, 0.0108393, 1.55523, 7051.746315, 2299
1421.27, 814.671, 96.9812, -129.257, 0.0523575, 1.68696, 7154.400757, 2309
1467.08, 779.598, 95.7167, -129.585, -0.0308525, 1.54044, 7254.650480, 2319
1512.12, 747.852, 94.6841, -130.383, 0.162998, 1.55129, 7383.916253, 2332
1521.08, 742.548, 94.4642, -129.815, 0.0258245, 1.6505, 7485.118994, 2342
1540, 725.601, 94.3545, -130.654, -0.156977, 1.30771, 7612.555372, 2355
1574.39, 695.565, 93.4001, -131.747, 0.137648, 1.47552, 7720.656464, 2365
1612.39, 666.108, 92.4583, -129.23, 0.150704, 1.43666, 7826.700546, 2376
1630.72, 657.596, 91.8695, -126.028, -0.136858, 1.48618, 7932.502485, 2387
1633.21, 655.936, 91.7672, -125.787, -0.135359, 1.44256, 8034.969536, 2397
1633.13, 655.955, 91.741, -125.771, -0.155705, 1.43865, 8139.040000, 2407
1639.66, 650.423, 91.8105, -126.157, -0.107402, 1.44188, 8241.348845, 2417
1666.94, 628.554, 91.0899, -127.25, 0.0769432, 1.26102, 8347.687741, 2428
1716.53, 590.63, 90.0604, -128.411, 0.030586, 1.41399, 8454.653704, 2439
1770.16, 550.782, 88.9439, -129.062, -0.0988288, 1.38782, 8559.999679, 2449
1826.09, 507.67, 87.8557, -129.168, 0.200244, 1.28175, 8661.442865, 2459
1888.61, 460.39, 86.768, -128.437, 0.193762, 1.63439, 8784.236973, 2471
1929.19, 430.608, 85.6361, -139.816, 0.138498, 1.1141, 8890.934106, 2483
1946.73, 422.038, 85.2867, -151.075, 0.136717, 1.17156, 8994.217504, 2493
1949.22, 420.618, 85.338, -152.233, 0.195987, 1.14122, 9100.650415, 2503
1947.24, 419.543, 85.1056, -155.198, 0.261947, 1.04524, 9211.001474, 2514
1946.7, 406.547, 85.0483, -162.47, 0.116344, 1.26469, 9318.681865, 2524
1952.6, 350.692, 84.8365, -171.14, 0.128069, 0.723498, 9449.987496, 2538
1961.89, 295.102, 84.0916, -172.559, 0.150877, 0.974786, 9564.810172, 2547
1977.09, 206.461, 83.1119, -172.427, 0.275152, 0.974974, 9671.404234, 2560
1989.08, 135.658, 82.6601, -171.965, 0.240913, 0.694365, 9772.144321, 2571
1998.77, 82.9245, 81.9541, -179.812, 0.545887, 0.666553, 9887.132916, 2582
2006.44, 54.4528, 81.6382, 171.233, 0.41202, 0.688005, 9998.658495, 2593
2007.43, 49.597, 81.5591, 170.254, 0.346643, 0.717898, 10112.319547, 2603
2005.65, 42.5881, 81.6197, 169.644, 0.330943, 0.629735, 10222.492624, 2615
1997.94, 20.0356, 81.2909, 164.097, 0.357125, 0.548908, 10328.636897, 2626
1978.31, -12.4934, 81.4609, 157.947, 0.287183, 0.524096, 10434.835698, 2637
1952.5, -53.2762, 81.5179, 156.559, 0.289518, 0.364079, 10566.799341, 2648
1928.91, -106.228, 80.5223, 156.084, -0.271547, -0.153247, 10671.614983, 2660
1909.58, -153.216, 81.016, 156.191, 0.10715, 0.0964985, 10779.790730, 2671
1888.15, -205.36, 80.5185, 156.518, -0.533075, -0.273633, 10893.136936, 2683
1870.93, -249.647, 80.5626, 156.588, -0.507824, -0.103181, 11004.156631, 2693
1850.14, -302.916, 80.4935, 156.855, -0.343558, -0.197093, 11111.738366, 2705
1832.77, -348.205, 81.3237, 157.164, -0.247772, -0.0407254, 11221.968883, 2715
1814.08, -396.943, 81.5517, 157.323, -0.26033, 0.414313, 11327.457129, 2726
1795.1, -445.3, 81.8127, 154.684, -0.317713, 0.363162, 11435.135887, 2737
1775.1, -487.324, 82.0008, 148.353, -0.535777, 0.235881, 11542.705654, 2747
1748.77, -528.938, 82.1395, 139.344, -0.659033, 0.595867, 11646.745430, 2758
1719.27, -565.915, 82.6411, 134.395, -1.02658, 0.0361746, 11753.553859, 2769
1691.29, -596.283, 83.3167, 133.684, -0.870337, 0.426756, 11866.316837, 2780
1663.33, -625.226, 83.8386, 133.751, -1.12105, 0.152763, 11982.315633, 2791
1633.93, -655.74, 84.2099, 133.917, -0.899615, 0.421167, 12095.334449, 2803
1604.29, -686.473, 85.0282, 134.154, -1.00597, 0.126043, 12217.586065, 2815
1577.78, -714.526, 85.6012, 134.362, -0.819838, 0.495648, 12329.379738, 2826
1553.45, -739.6, 86.1722, 134.784, -0.816439, 0.641807, 12435.918376, 2836
1526.73, -766.51, 86.7224, 130.962, -1.10826, 0.821659, 12539.421612, 2847
1500.01, -787.442, 87.307, 120.578, -1.24651, 1.00538, 12644.970754, 2858
1478.35, -801.384, 87.5558, 115.187, -1.30184, 1.02219, 12750.363768, 2866
1441.99, -820.541, 88.685, 113.666, -1.13936, 1.14948, 12855.412049, 2878
1407.71, -837.293, 89.2657, 113.594, -1.08199, 1.09143, 12957.457247, 2889
1372.73, -853.978, 90.3359, 113.743, -0.870074, 1.06558, 13064.114573, 2900
1331.59, -873.875, 91.4428, 113.981, -0.944861, 1.10558, 13197.725212, 2913
1297.13, -891.15, 92.0498, 114.239, -0.770365, 1.11543, 13313.196267, 2924
1262.11, -907.747, 92.9133, 114.549, -0.423435, 1.41322, 13416.728591, 2935
1252.5, -912.729, 93.1318, 114.457, -0.266597, 1.30593, 13517.723013, 2938
1211.49, -932.962, 94.3896, 114.777, -0.130101, 1.396, 13619.575188, 2951
1173.4, -952.119, 95.0957, 115.097, -0.0979587, 1.29026, 13727.734391, 2963
1160.82, -958.338, 95.601, 115.244, -0.259529, 1.21234, 13831.604025, 2967
1104.81, -987.642, 96.5073, 115.448, -0.197292, 1.453, 13938.193639, 2985
1104.81, -987.642, 96.5073, 115.448, -0.197292, 1.453, 14041.126767, 2985
1039.56, -1021.57, 98.1851, 115.694, -0.188891, 1.36015, 14150.663720, 3006
1033.24, -1024.84, 97.9542, 115.756, -0.111507, 1.29154, 14256.129918, 3008
1033.24, -1024.84, 97.9542, 115.756, -0.111507, 1.29154, 14363.527750, 3008
947.008, -1068.86, 99.8757, 110.408, -0.20993, 1.10561, 14470.502642, 3036
912.811, -1079.44, 100.096, 100.587, -0.2321, 1.33705, 14573.162843, 3047
878.366, -1087.4, 100.951, 98.3472, -0.499145, 1.38179, 14678.184661, 3057
830.664, -1096.85, 101.848, 98.2072, -0.156556, 1.2839, 14779.625319, 3071
796.054, -1102.35, 102.54, 95.0838, -0.384627, 1.48444, 14880.809179, 3081
757.556, -1098.81, 102.135, 89.7847, 2.06041, 2.37868, 14994.222329, 3093
720.324, -1098.3, 102.61, 86.2103, 2.31334, 2.11247, 15108.648240, 3104
682.674, -1095.69, 103.058, 85.7419, 2.68868, 2.33185, 15224.113919, 3115
654.198, -1100.27, 105.852, 83.3227, 0.933319, 1.20338, 15328.035648, 3123
609.569, -1096.45, 106.932, 83.4899, 0.898289, 1.09626, 15432.354974, 3136
568.937, -1092.96, 107.6, 83.9605, 0.838745, 1.08325, 15548.109132, 3148
532.428, -1088.98, 108.151, 80.1683, 0.826242, 1.00138, 15654.312828, 3159
496.295, -1083.38, 108.803, 77.6721, 0.257391, 1.08195, 15767.720410, 3170
465.815, -1071.23, 107.426, 80.0478, 2.53584, 1.92071, 15869.827400, 3180
429.125, -1064.23, 108.253, 80.0558, 2.42952, 1.74999, 15975.161471, 3191
395.752, -1058.06, 109.029, 80.2074, 2.44488, 1.85691, 16076.522994, 3201
365.842, -1051.52, 109.152, 73.7634, 2.7712, 1.71365, 16180.899184, 3211
329.626, -1045.22, 112.542, 64.3822, 0.324519, 1.35165, 16289.449232, 3222
295.558, -1030.97, 113.319, 63.5845, 0.280066, 1.30923, 16397.536340, 3233
264.656, -1017, 114.101, 63.6509, 0.373512, 1.17522, 16499.306660, 3243
233.986, -1002.99, 114.662, 63.7536, 0.328473, 1.33326, 16602.510378, 3253
203.373, -983.009, 112.36, 66.3624, 3.44043, 1.43217, 16702.796484, 3264
168.984, -974.035, 116.341, 64.0066, 0.388092, 1.34343, 16824.412232, 3274
128.38, -955.894, 117.293, 64.1727, 0.311279, 1.30152, 16932.212206, 3287
100.667, -937.237, 114.873, 67.0259, 3.18726, 1.35958, 17038.496190, 3297
66.2876, -928.599, 118.673, 64.3679, 0.368804, 1.31399, 17141.099176, 3307
32.0085, -913.737, 119.56, 64.3727, 0.483485, 1.27299, 17245.452262, 3318
0.67488, -900.19, 119.865, 64.9428, -0.156143, 1.46795, 17346.563195, 3328
-26.7647, -881.174, 118.217, 67.4577, 3.17746, 1.51894, 17447.352850, 3338
-62.0454, -873.185, 121.333, 65.3254, -0.239495, 1.40687, 17547.668557, 3348
-94.7474, -861.919, 120.367, 66.6579, -0.360063, 0.459772, 17651.460495, 3358
-123.647, -839.734, 120.837, 67.3399, 3.5015, 1.98885, 17752.193062, 3369
-154.265, -826.164, 122.432, 67.5639, 2.80107, 1.74822, 17856.393989, 3379
-185.526, -812.724, 123.631, 67.4503, 2.05846, 1.81855, 17957.329467, 3389
-222.718, -803.761, 126.397, 64.9683, 0.510264, 1.42174, 18062.351476, 3400
-253.44, -789.973, 126.654, 65.5614, -0.748004, 2.11759, 18169.537214, 3410
-284.212, -770.824, 125.124, 68.6367, 3.29933, 1.55936, 18279.283062, 3421
-318.488, -762.905, 129.07, 65.4014, 0.419065, 1.73821, 18386.102850, 3431
-352.311, -742.089, 127.154, 68.9228, 3.27489, 1.46804, 18492.745680, 3443
-387.545, -734.933, 130.626, 65.9932, 0.395373, 1.5053, 18596.282644, 3453
-418.583, -721.77, 131.872, 65.6996, 0.534314, 1.36253, 18699.182364, 3463
-445.29, -703.923, 129.617, 69.2661, 3.56866, 1.52845, 18802.428770, 3473
-480.523, -696.605, 133.246, 65.9315, 0.0314951, 1.73283, 18906.506018, 3483
-511.489, -684.038, 134.445, 65.9624, 0.702733, 1.38708, 19014.912995, 3493
-552.911, -666.634, 135.625, 66.08, 0.563208, 1.44177, 19122.067181, 3506
-584.207, -654.273, 136.356, 66.1559, 0.622739, 1.11786, 19228.417789, 3516
-619.142, -640.739, 137.155, 66.2003, 0.216703, 1.42942, 19338.978639, 3527
-650.545, -627.764, 138.151, 66.0738, 0.062244, 1.69248, 19446.958195, 3537
-685.06, -613.823, 139.132, 63.6032, -0.193284, 1.79275, 19563.874648, 3548
-721.714, -596.172, 139.912, 54.3226, 0.306039, 1.33976, 19674.666152, 3561
-748.541, -577.5, 140.348, 49.4045, 0.306059, 1.66855, 19786.095316, 3571
-779.99, -552.962, 141.661, 48.7219, 0.138813, 1.865, 19893.393853, 3583
-808.896, -529.097, 142.428, 48.9908, 0.13224, 1.80504, 20001.597792, 3594
-835.469, -508.31, 143.21, 49.2122, 0.311958, 1.71082, 20108.109967, 3604
-863.898, -482.096, 144.02, 41.2269, 0.348797, 1.64983, 20230.821707, 3616
-886.371, -450.756, 144.795, 28.9136, 0.413893, 1.81039, 20346.716215, 3628
-905.976, -413.916, 145.122, 22.2365, 0.13811, 2.34289, 20466.627687, 3640
-921.713, -380.131, 145.643, 21.6547, 0.243757, 2.40988, 20579.152747, 3651
-935.016, -348.862, 146.213, 21.655, 0.118351, 2.36147, 20685.535482, 3661
-951.748, -311.524, 146.851, 21.9265, 0.0597543, 2.36845, 20793.360640, 3673
-972.61, -264.921, 147.572, 22.106, 0.051086, 2.39058, 20943.642169, 3688
-988.149, -230.73, 148.019, 22.2894, -0.0250553, 2.37448, 21055.268163, 3699
-1001.37, -199.808, 148.352, 19.7695, -0.0422751, 2.44947, 21166.633808, 3709
-1012.41, -167.404, 148.849, 10.3339, -0.0751972, 2.65072, 21272.871168, 3720
-1018.92, -132.807, 149.673, 2.79812, 0.338519, 2.20697, 21378.127096, 3731
-1021.74, -96.9694, 149.491, 1.6288, 0.273843, 2.30055, 21487.514514, 3742
-1023.8, -64.5441, 149.752, 1.83667, 0.405317, 2.40774, 21593.238886, 3752
-1026.5, -28.5125, 150.132, 2.00358, 0.342287, 2.38909, 21701.198155, 3763
-1029.09, 11.2488, 150.232, 2.14062, 0.243525, 2.32637, 21821.526039, 3775
-1031.77, 50.8826, 150.349, 2.151, 0.34171, 2.43597, 21938.355389, 3787
-1034.91, 90.0963, 150.427, 2.40248, 0.27329, 2.08385, 22056.838679, 3799
-1036.75, 119.802, 150.612, 2.48973, 0.345472, 2.20783, 22163.440677, 3808
-1040.18, 162.747, 150.722, 2.80725, 0.0216177, 2.51108, 22280.070892, 3821
-1042.63, 199.491, 150.99, 2.62391, 0.235084, 2.57936, 22388.410638, 3832
-1046.68, 235.932, 150.779, 3.18124, 0.134192, 1.89932, 22492.558445, 3843
-1050.5, 268.724, 149.984, 3.74063, -0.303958, 1.64534, 22598.373441, 3853
-1052.6, 302.117, 151.01, 3.70992, 0.0533231, 2.05727, 22701.040139, 3863
-1055.97, 335.623, 151.467, 3.37263, 0.475533, 1.26626, 22803.423894, 3873
-1059.62, 373.569, 151.396, 3.70488, 0.211345, 1.33585, 22905.872994, 3884
-1063.6, 408.77, 151.057, 3.72265, 0.383513, 1.055, 23011.200281, 3894
-1067.75, 448.139, 151.498, 3.98324, 0.464556, 0.941651, 23116.305201, 3905
-1071.66, 483.937, 151.303, 4.35089, 0.316479, 1.58453, 23218.496767, 3915
-1075.28, 522.794, 152.283, 0.677881, 0.240834, 0.498862, 23324.680560, 3926
-1074.43, 554.682, 152.155, -8.94486, 0.289758, 0.545353, 23431.443708, 3936
-1069, 596.559, 151.752, -13.0074, 0.132109, 0.542655, 23541.826032, 3948
-1062.72, 629.099, 151.729, -13.3021, 0.13098, 0.771882, 23648.668956, 3957
-1054.84, 669.148, 151.838, -13.2514, 0.310464, 0.739522, 23752.385118, 3968
-1046.43, 712.195, 151.734, -13.1665, 0.528855, 0.654591, 23869.539522, 3980
-1038.74, 750.884, 151.817, -22.5124, 0.452077, 0.723523, 23985.139568, 3992
-1026.76, 782.405, 151.361, -29.9773, 0.277881, 0.875269, 24098.193616, 4003
-1008.89, 817.182, 151.37, -30.8776, 0.402439, 0.753424, 24206.348883, 4014
-993.068, 846.421, 150.995, -30.9084, 0.233063, 0.951552, 24314.309144, 4023
-971.723, 885.615, 150.849, -30.6702, 0.289668, 0.97909, 24420.951014, 4035
-952.344, 921.873, 150.822, -30.4921, 0.255218, 0.930311, 24525.348259, 4046
-929.476, 964.876, 150.604, -30.2523, 0.263356, 0.838727, 24655.550602, 4059
-911.584, 998.044, 150.334, -30.0929, 0.3056, 0.857868, 24762.566325, 4069
-890.491, 1037.86, 149.962, -29.9717, 0.250629, 1.04553, 24874.654461, 4081
-874.319, 1067.51, 149.831, -32.4615, 0.107727, 1.09674, 24980.155410, 4090
-855.202, 1096.24, 149.434, -42.8147, 0.0666369, 1.29317, 25089.340110, 4101
-828.562, 1120.4, 148.83, -51.6882, 0.381253, 1.10224, 25198.207308, 4113
-797.95, 1146.73, 148.455, -52.6944, 0.495772, 1.43171, 25302.783976, 4124
-770.277, 1169.12, 147.817, -52.6626, 0.300821, 1.41635, 25406.806409, 4134
-741.078, 1193.14, 147.412, -52.5385, 0.266354, 1.19604, 25511.695619, 4144
-706.982, 1220.97, 146.15, -52.51, 0.277792, 1.45853, 25631.800273, 4156
-675.1, 1246.63, 145.765, -63.1231, 0.637484, 1.47999, 25760.668034, 4169
-647.101, 1259.81, 144.946, -72.0538, 1.11888, 1.3649, 25872.064846, 4180
-611.703, 1272.39, 144.446, -73.074, 1.32731, 1.50754, 25984.282516, 4191
-574.625, 1284.61, 143.217, -73.1798, 0.924787, 1.52346, 26090.853954, 4202
-528.95, 1300.2, 142.177, -73.1392, 0.930241, 1.70845, 26213.852444, 4215
-484.075, 1315.42, 140.736, -72.9989, 1.18664, 1.61471, 26345.167132, 4228
-445.569, 1328.73, 139.493, -72.9148, 2.10857, 1.6741, 26457.489217, 4239
-406.803, 1342.06, 138.539, -72.6367, 2.21636, 1.71409, 26566.778268, 4250
-368.365, 1355.01, 137.491, -76.1027, 2.22224, 1.57181, 26672.825614, 4261
-329.49, 1365.55, 136.527, -78.6643, 2.51148, 1.39436, 26783.200321, 4272
-289.758, 1375.66, 135.797, -78.7255, 2.33673, 1.50531, 26892.386845, 4283
-253.689, 1384.1, 134.924, -78.4129, 2.32085, 1.39278, 26996.441373, 4293
-212.02, 1393.97, 134.334, -78.201, 2.1614, 1.61307, 27104.725951, 4304
-168.065, 1404.49, 133.782, -78.2591, 1.93253, 1.50481, 27212.632932, 4315
-125.784, 1408.12, 131.042, -76.0146, -1.14492, -0.585273, 27320.482249, 4325
-83.6369, 1425, 132.284, -78.128, 1.61368, 1.39668, 27426.251357, 4335
-26.9534, 1438.6, 130.688, -77.8317, 1.65041, 1.39549, 27535.549272, 4347
22.2214, 1450.31, 130.948, -80.6024, 0.272887, 1.08202, 27641.570730, 4357
