X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1514.82, -159.952, 98.3654, -9.87939, 0.356392, 1.29805, image00001.jpg, 136.722944, 280462, 299.312500, -1.062500, 0.000000
1514.83, -159.949, 98.3892, -9.88107, 0.354214, 1.28069, image00002.jpg, 266.238400, 280472, 299.312500, -1.062500, 0.000000
1514.83, -159.942, 98.3626, -9.88511, 0.356759, 1.27223, image00003.jpg, 394.187744, 280482, 299.312500, -1.062500, 0.000000
1514.82, -159.948, 98.3651, -9.88556, 0.361127, 1.28743, image00004.jpg, 525.723104, 280503, 299.312500, -1.062500, 0.000000
1514.81, -159.949, 98.3561, -9.88408, 0.351059, 1.25311, image00005.jpg, 656.338816, 280513, 299.312500, -1.062500, 0.000000
1514.8, -159.95, 98.3508, -9.88721, 0.345675, 1.25912, image00006.jpg, 788.895328, 280523, 299.312500, -1.062500, 0.000000
1514.82, -159.955, 98.3709, -9.88357, 0.349646, 1.25484, image00007.jpg, 924.870016, 280533, 299.375000, -1.000000, 0.000000
1518.27, -141.819, 98.267, -9.98306, 0.24285, 1.23896, image00008.jpg, 1054.563680, 280557, 299.375000, -1.125000, 0.000000
1523.4, -113.235, 98.1016, -9.86631, 0.377993, 1.30027, image00009.jpg, 1193.491584, 280571, 299.312500, -1.062500, 0.000000
1529.28, -80.8282, 98.0035, -9.754, 0.017079, 1.34984, image00010.jpg, 1325.133664, 280584, 299.187500, -1.250000, -0.062500
1534.28, -45.5338, 101.294, -10.1074, -1.45562, -0.658275, image00011.jpg, 1456.615008, 280597, 299.125000, -1.250000, 0.000000
1538.79, -10.731, 101.614, -8.70317, -0.432518, -4.59445, image00012.jpg, 1591.919968, 280610, 298.937500, -1.375000, -0.062500
1545.45, 26.9417, 102.94, -8.82268, 0.402342, -0.594661, image00013.jpg, 1725.550208, 280624, 298.875000, -1.187500, 0.000000
1551.92, 61.8207, 101.51, -9.07179, -0.407912, -0.635636, image00014.jpg, 1856.782560, 280637, 298.687500, -1.250000, 0.000000
1558.61, 96.5993, 99.5169, -9.26142, -2.29052, -1.3791, image00015.jpg, 1992.683904, 280650, 298.500000, -1.187500, 0.000000
1564.17, 131.754, 99.4746, -9.15361, -2.30403, -1.36271, image00016.jpg, 2124.041568, 280663, 298.312500, -1.250000, -0.062500
