X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
12.1674, -295.822, 132.191, 88.0269, 0.758193, 1.28668, image00001.jpg, 129.566528, 61732, 4.812500, -0.875000, 0.812500
12.1068, -295.797, 132.257, 88.0404, 0.79094, 1.27096, image00002.jpg, 254.198944, 61743, 4.812500, -0.875000, 0.812500
11.9557, -295.695, 132.312, 88.0502, 0.701971, 1.34095, image00003.jpg, 355.266688, 61764, 4.812500, -0.875000, 0.812500
11.9689, -295.688, 132.307, 88.0494, 0.706687, 1.34113, image00004.jpg, 486.889408, 61777, 4.812500, -0.875000, 0.812500
12.6343, -295.776, 131.752, 88.0061, 0.410463, 1.49197, image00005.jpg, 616.785056, 61790, 4.812500, -0.875000, 0.812500
12.4319, -295.689, 131.93, 88.0391, 0.502704, 1.47173, image00006.jpg, 717.426304, 61800, 4.812500, -0.875000, 0.812500
11.9013, -295.694, 132.33, 88.04, 0.714652, 1.3256, image00007.jpg, 847.870016, 61813, 4.812500, -0.875000, 0.812500
11.795, -295.238, 132.242, 87.8827, 1.19936, 1.37708, image00008.jpg, 978.064544, 61826, 4.937500, -0.812500, 0.812500
12.5497, -294.985, 132.79, 87.368, 1.11035, 1.45153, image00009.jpg, 1106.692128, 61839, 5.312500, -0.750000, 0.875000
15.232, -294.725, 136.917, 83.4668, 2.55988, 2.64166, image00010.jpg, 1234.004352, 61852, 8.125000, 0.125000, 1.812500
15.5494, -294.992, 138.687, 82.0996, 2.44767, 3.27447, image00011.jpg, 1361.067744, 61855, 14.375000, 4.062500, 2.687500
14.669, -288.766, 146.485, 67.3755, 2.52936, 5.44254, image00012.jpg, 1491.733600, 61876, 24.375000, 5.125000, 1.187500
12.7787, -283.274, 147.746, 58.3099, 1.58935, 3.18062, image00013.jpg, 1618.955648, 61886, 36.187500, 2.750000, 0.062500
