Timestamp [ms],Filename,Frame,X [mm],Y [mm],Z [mm],Heading [degrees],Pitch [degrees],Roll [degrees]
127.251,snapshot_0.png,2037236,1613.88,-107.661,96.4264,88.7926,-0.738,1.6781
272.49,snapshot_1.png,2037257,1613.84,-107.736,96.3912,88.8394,-0.723642,1.64295
403.63300000000004,snapshot_2.png,2037267,1613.83,-107.733,96.4011,88.8397,-0.727085,1.63912
533.096,snapshot_3.png,2037277,1609.57,-107.062,96.5256,88.4432,-0.658813,1.63574
669.8009999999999,snapshot_4.png,2037298,1569.47,-103.152,96.9743,87.2575,-0.647352,1.74092
802.889,snapshot_5.png,2037308,1541.92,-101.707,97.4284,87.2772,-0.626617,1.74621
939.7860000000001,snapshot_6.png,2037327,1485.6,-97.6117,98.0799,87.1213,-0.899224,1.61324
1071.65,snapshot_7.png,2037340,1444.72,-94.9117,98.9682,87.1326,-0.668269,1.59482
1201.53,snapshot_8.png,2037353,1403.49,-92.3824,99.4968,87.4828,-0.85988,1.6387
1339.3200000000002,snapshot_9.png,2037367,1359.06,-89.757,99.6113,88.0131,-0.840337,1.53912
1471.23,snapshot_10.png,2037380,1317.0,-87.481,100.487,88.1877,-0.564281,1.69372
1605.2,snapshot_11.png,2037394,1271.66,-85.8422,101.529,88.6641,-1.01581,1.88989
1737.05,snapshot_12.png,2037407,1229.37,-84.0928,102.275,89.0246,-0.516008,1.92521
1870.3700000000001,snapshot_13.png,2037420,1186.83,-82.4962,103.008,89.3588,-0.236713,1.97685
2007.2,snapshot_14.png,2037434,1141.49,-81.3726,103.615,89.7869,-0.10024,2.12224
2138.14,snapshot_15.png,2037447,1098.87,-80.5329,104.527,90.1676,-0.168263,2.20076
2270.07,snapshot_16.png,2037460,1055.9,-79.6841,105.72,90.4805,-0.0532851,2.24848
2406.4100000000003,snapshot_17.png,2037474,1009.41,-79.3296,106.578,91.018,-0.234076,2.41286
2539.34,snapshot_18.png,2037487,965.992,-79.4203,107.318,91.2652,-0.0713185,2.24448
2670.77,snapshot_19.png,2037500,924.838,-80.5234,107.619,91.2316,0.922138,1.35825
2804.37,snapshot_20.png,2037513,881.263,-80.4196,107.76,91.0377,-0.147336,1.16307
2941.2400000000002,snapshot_21.png,2037523,851.112,-79.3304,109.03,85.7237,0.39307,1.0532
3075.88,snapshot_22.png,2037533,820.312,-76.4587,109.348,82.6343,0.461167,1.11424
3207.27,snapshot_23.png,2037544,785.86,-71.6304,109.608,82.1741,0.457772,1.17741
3339.01,snapshot_24.png,2037564,733.68,-63.8047,110.669,82.3621,0.47798,1.13913
3473.54,snapshot_25.png,2037574,708.993,-60.1066,111.134,82.4889,0.417883,1.14736
3607.1,snapshot_26.png,2037585,679.693,-55.6754,111.676,82.3627,0.652749,1.12817
3739.64,snapshot_27.png,2037605,623.391,-47.2545,112.253,82.4298,0.125285,1.31107
3875.02,snapshot_28.png,2037615,594.941,-43.2632,112.801,82.6033,0.405307,1.22524
4004.92,snapshot_29.png,2037626,563.187,-38.3528,113.21,82.5914,0.375441,1.30521
4140.780000000001,snapshot_30.png,2037646,505.162,-30.1356,114.419,82.7634,-0.085111,1.2653
4275.35,snapshot_31.png,2037656,476.211,-26.1292,114.929,82.9604,0.294885,1.28174
4404.7,snapshot_32.png,2037666,446.883,-22.249,115.319,83.1198,0.349074,1.35272
4544.82,snapshot_33.png,2037677,414.755,-17.9939,115.865,83.1183,0.356711,1.29491
4674.719999999999,snapshot_34.png,2037697,356.484,-10.1323,116.86,83.4434,0.149349,1.42437
4807.179999999999,snapshot_35.png,2037708,323.18,-5.97409,117.764,83.4062,0.311714,1.35794
4942.070000000001,snapshot_36.png,2037727,264.936,1.56931,118.676,83.8719,0.304807,1.51167
5077.78,snapshot_37.png,2037741,222.347,6.83088,119.551,83.8874,0.127913,1.59598
5204.95,snapshot_38.png,2037754,182.678,11.5394,120.776,84.0669,-0.00469001,1.75435
5343.099999999999,snapshot_39.png,2037767,142.575,16.3709,121.456,84.1674,0.0600953,1.54041
5475.32,snapshot_40.png,2037781,99.3705,21.423,122.364,84.4122,0.300677,1.53415
