Time [s], Filename, Frame, X, Y, Z, Rx, Ry, Rz
0.126352, ftl-3/snapshot_0.png, 509944, 1525.32, -53.1935, 96.8545, -175.627, -0.66395, 1.32508
0.260438, ftl-3/snapshot_1.png, 509954, 1525.31, -53.1863, 96.8486, -175.633, -0.663053, 1.325
0.401855, ftl-3/snapshot_2.png, 509975, 1525.3, -53.1892, 96.846, -175.631, -0.658348, 1.32402
0.533697, ftl-3/snapshot_3.png, 509985, 1525.29, -53.1804, 96.8302, -175.631, -0.660322, 1.32249
0.659637, ftl-3/snapshot_4.png, 509995, 1525.29, -53.1846, 96.8414, -175.632, -0.654731, 1.30583
0.79855, ftl-3/snapshot_5.png, 510015, 1525.78, -58.4783, 97.0726, -175.792, -0.772556, 1.37166
0.930317, ftl-3/snapshot_6.png, 510026, 1526.75, -78.0287, 97.1963, -175.633, -0.658379, 1.27715
1.06544, ftl-3/snapshot_7.png, 510036, 1527.83, -102.13, 97.2746, -175.512, -0.686585, 1.18428
1.19998, ftl-3/snapshot_8.png, 510056, 1531.39, -158.1, 97.4404, -175.171, -0.640232, 1.33509
1.33011, ftl-3/snapshot_9.png, 510067, 1533.24, -190.188, 97.426, -174.904, -0.596466, 1.26971
1.46543, ftl-3/snapshot_10.png, 510077, 1535.4, -219.456, 97.6478, -174.754, -0.643371, 1.45131
1.59278, ftl-3/snapshot_11.png, 510087, 1537.5, -248.634, 97.6653, -174.774, -0.65244, 1.27991
1.73679, ftl-3/snapshot_12.png, 510108, 1542.37, -310.091, 97.9084, -174.25, -0.61237, 1.27173
1.86919, ftl-3/snapshot_13.png, 510124, 1546.29, -356.981, 97.7654, -174.008, -0.635438, 1.19167
1.99616, ftl-3/snapshot_14.png, 510137, 1549.75, -394.02, 97.7299, -173.76, -0.852496, 1.38939
2.12672, ftl-3/snapshot_15.png, 510150, 1552.78, -431.332, 97.7034, -173.794, -0.850525, 1.17415
2.2708, ftl-3/snapshot_16.png, 510165, 1556.81, -474.612, 98.0046, -173.466, -0.870173, 1.22918
2.40015, ftl-3/snapshot_17.png, 510178, 1560.55, -512.252, 98.2065, -173.321, -1.04538, 1.05555
2.53335, ftl-3/snapshot_18.png, 510191, 1566.17, -550.076, 97.0722, -171.818, -0.534948, 1.70764
2.66816, ftl-3/snapshot_19.png, 510204, 1570.57, -588.122, 97.395, -171.553, -0.256977, 1.78614
2.79753, ftl-3/snapshot_20.png, 510217, 1574.67, -625.821, 97.4954, -171.479, -0.347816, 1.74677
2.93578, ftl-3/snapshot_21.png, 510231, 1578.42, -666.57, 98.3389, -171.7, -0.51476, 1.20928
3.06915, ftl-3/snapshot_22.png, 510244, 1582.85, -704.155, 98.6692, -171.473, -0.608363, 1.22904
3.19673, ftl-3/snapshot_23.png, 510257, 1588.23, -742.307, 98.4444, -171.455, -0.620869, 1.56675
3.33615, ftl-3/snapshot_24.png, 510271, 1593.21, -782.78, 98.1632, -171.82, -0.559277, 1.5805
3.46897, ftl-3/snapshot_25.png, 510284, 1596.85, -818.883, 98.5065, -174.714, -0.370809, 1.51408
3.6024, ftl-3/snapshot_26.png, 510298, 1597.63, -859.362, 99.4372, -175.729, -0.972311, 0.926773
3.73323, ftl-3/snapshot_27.png, 510311, 1601.22, -896.491, 99.1961, -174.553, -0.576354, 1.42983
3.86537, ftl-3/snapshot_28.png, 510324, 1603.9, -934.736, 99.0092, -174.128, -0.679318, 1.7344
4.00475, ftl-3/snapshot_29.png, 510338, 1605.29, -974.172, 99.4034, -177.889, -0.313964, 1.93389
4.13629, ftl-3/snapshot_30.png, 510351, 1605.06, -1011.69, 99.6055, -179.115, -0.29834, 1.82012
4.26646, ftl-3/snapshot_31.png, 510364, 1603.98, -1049.71, 99.568, -179.158, -0.0265118, 1.92622
4.40045, ftl-3/snapshot_32.png, 510377, 1603.29, -1088.6, 99.396, -179.012, -0.15406, 2.13774
4.5355, ftl-3/snapshot_33.png, 510391, 1601.84, -1130.5, 99.4942, 176.648, 0.212333, 2.21514
4.67605, ftl-3/snapshot_34.png, 510405, 1594.1, -1172.71, 100.388, 168.695, 0.123571, 1.3148
4.80297, ftl-3/snapshot_35.png, 510418, 1584.84, -1215.63, 100.074, 168.448, 0.0518398, 0.90495
4.93341, ftl-3/snapshot_36.png, 510431, 1574.47, -1258.89, 100.357, 168.716, -0.0596604, 1.3924
5.06703, ftl-3/snapshot_37.png, 510444, 1562.75, -1301.99, 100.941, 164.265, -0.147871, 1.39374
5.20344, ftl-3/snapshot_38.png, 510458, 1545.81, -1350.27, 100.538, 157.734, 0.0987076, 1.68311
5.33171, ftl-3/snapshot_39.png, 510471, 1524.2, -1399.35, 101.359, 157.481, -0.131476, 1.24913
5.47113, ftl-3/snapshot_40.png, 510485, 1500.51, -1449.65, 101.08, 151.069, 0.335424, 1.74726
5.60155, ftl-3/snapshot_41.png, 510498, 1473.96, -1488.64, 101.493, 141.371, 0.661634, 1.90456
5.7326, ftl-3/snapshot_42.png, 510511, 1438.3, -1530.67, 102.539, 140.289, 0.467129, 1.76625
5.86488, ftl-3/snapshot_43.png, 510521, 1410.21, -1562.66, 103.338, 140.388, 0.00358221, 1.43767
5.99949, ftl-3/snapshot_44.png, 510527, 1393.56, -1582.32, 103.419, 140.648, 0.114107, 1.35727
6.13823, ftl-3/snapshot_45.png, 510548, 1346.78, -1636.08, 104.399, 128.754, 0.23204, 1.46085
6.26647, ftl-3/snapshot_46.png, 510558, 1342.11, -1642.83, 104.401, 119.292, 0.543369, 1.51573
6.39929, ftl-3/snapshot_47.png, 510568, 1342.41, -1645.21, 104.549, 111.068, 0.50797, 1.41351
6.53935, ftl-3/snapshot_48.png, 510589, 1310.2, -1653.74, 105.988, 108.629, 1.16139, 1.70271
6.66972, ftl-3/snapshot_49.png, 510599, 1280.52, -1662.57, 106.401, 108.384, 1.03402, 1.47417
6.80363, ftl-3/snapshot_50.png, 510609, 1244.75, -1674.16, 106.906, 108.678, 0.906115, 1.58025
6.93469, ftl-3/snapshot_51.png, 510631, 1157.88, -1701.85, 108.352, 108.995, 0.852366, 1.70998
7.06685, ftl-3/snapshot_52.png, 510644, 1107.28, -1718.55, 108.576, 109.137, 0.487953, 1.62703
7.19692, ftl-3/snapshot_53.png, 510657, 1058.46, -1734.89, 108.896, 105.708, 0.329263, 1.41365
7.34107, ftl-3/snapshot_54.png, 510671, 1002.23, -1748.65, 110.052, 103.633, -0.200866, 1.58008
7.47354, ftl-3/snapshot_55.png, 510685, 946.166, -1760.8, 110.665, 103.669, 0.329963, 1.38337
7.6092, ftl-3/snapshot_56.png, 510698, 892.435, -1772.58, 111.706, 104.165, 0.282616, 1.24132
7.73405, ftl-3/snapshot_57.png, 510711, 838.465, -1784.34, 112.936, 104.629, 0.151456, 1.54514
7.86615, ftl-3/snapshot_58.png, 510724, 784.348, -1797.24, 113.963, 104.988, -0.200462, 1.0644
8.00841, ftl-3/snapshot_59.png, 510738, 726.342, -1810.95, 115.026, 104.621, 0.0669839, 1.16287
8.13727, ftl-3/snapshot_60.png, 510751, 675.708, -1819.35, 116.137, 96.0101, 0.00305394, 1.01428
8.26682, ftl-3/snapshot_61.png, 510764, 623.974, -1823.5, 117.197, 93.8091, -0.498241, 1.17051
8.40824, ftl-3/snapshot_62.png, 510778, 570.413, -1826.56, 117.978, 94.2012, -0.731066, 1.24895
8.53761, ftl-3/snapshot_63.png, 510791, 520.135, -1830.08, 118.878, 94.8105, -0.246044, 1.12639
8.66419, ftl-3/snapshot_64.png, 510804, 470.432, -1831.84, 119.931, 94.4502, 0.0370392, 1.31055
8.80977, ftl-3/snapshot_65.png, 510818, 416.564, -1835.86, 121.239, 95.9469, -0.55535, 0.637778
8.94069, ftl-3/snapshot_66.png, 510824, 393.981, -1837.42, 120.738, 96.0527, -0.383949, 1.19073
9.06821, ftl-3/snapshot_67.png, 510835, 353.881, -1838.76, 121.723, 90.8548, -0.319872, 1.05062
9.20643, ftl-3/snapshot_68.png, 510855, 279.113, -1834.2, 124.048, 86.7372, 0.387283, 1.49303
9.33993, ftl-3/snapshot_69.png, 510865, 240.466, -1831.06, 125.035, 86.816, 0.401071, 1.28632
9.47827, ftl-3/snapshot_70.png, 510876, 198.256, -1828.59, 125.576, 87.0567, 0.222973, 1.40328
9.60847, ftl-3/snapshot_71.png, 510896, 123.056, -1823.92, 126.094, 87.2672, 0.750044, 1.04035
9.73236, ftl-3/snapshot_72.png, 510906, 83.4247, -1821.74, 126.451, 87.6345, 0.13638, 1.03638
9.87063, ftl-3/snapshot_73.png, 510917, 40.9656, -1819.36, 126.754, 87.6227, 0.0255031, 0.92815
10.0051, ftl-3/snapshot_74.png, 510937, -31.5621, -1809.98, 128.128, 79.9884, 0.331545, 0.678455
10.1438, ftl-3/snapshot_75.png, 510947, -68.777, -1803.21, 128.782, 79.6623, 0.236212, 0.989758
10.272, ftl-3/snapshot_76.png, 510958, -110.334, -1795.14, 129.32, 80.0504, 0.196053, 1.16036
10.4008, ftl-3/snapshot_77.png, 510968, -147.938, -1787.99, 129.733, 80.3577, 0.470774, 1.02305
10.5453, ftl-3/snapshot_78.png, 510988, -223.124, -1774.24, 130.454, 80.8681, 0.318861, 1.27027
10.6717, ftl-3/snapshot_79.png, 510998, -261.112, -1767.77, 131.113, 81.3105, 0.353339, 1.01991
10.8096, ftl-3/snapshot_80.png, 511009, -301.555, -1761.35, 130.922, 79.1309, -0.215127, 1.25244
10.9407, ftl-3/snapshot_81.png, 511029, -364.827, -1736.28, 132.135, 60.7842, -0.219759, 1.1995
11.0722, ftl-3/snapshot_82.png, 511039, -397.664, -1716.74, 132.907, 58.9034, 0.0508393, 1.23748
11.2049, ftl-3/snapshot_83.png, 511050, -432.846, -1694.29, 133.718, 58.4994, -0.24995, 1.44498
11.3411, ftl-3/snapshot_84.png, 511070, -493.927, -1655.24, 135.205, 51.0492, 0.190144, 1.26076
11.4737, ftl-3/snapshot_85.png, 511080, -519.188, -1631.77, 136.088, 42.5398, 0.54201, 0.811964
11.6067, ftl-3/snapshot_86.png, 511091, -547.075, -1601.24, 136.304, 40.5505, 0.292822, 1.27728
11.741, ftl-3/snapshot_87.png, 511101, -571.324, -1571.81, 136.631, 40.5107, 0.367609, 0.725754
11.8753, ftl-3/snapshot_88.png, 511121, -621.041, -1513.46, 137.476, 41.143, 0.51054, 1.03795
12.0042, ftl-3/snapshot_89.png, 511132, -645.875, -1482.87, 138.198, 36.7545, 0.828081, 0.907364
12.1382, ftl-3/snapshot_90.png, 511142, -664.726, -1454.88, 138.801, 28.3007, 0.725524, 0.886556
12.2819, ftl-3/snapshot_91.png, 511162, -696.892, -1388.05, 139.342, 24.3941, 0.810506, 1.30473
12.4048, ftl-3/snapshot_92.png, 511173, -713.607, -1350.15, 139.693, 24.2538, 0.58683, 1.54128
12.5426, ftl-3/snapshot_93.png, 511183, -729.865, -1314.65, 140.435, 27.1486, 0.774173, 0.968457
12.6809, ftl-3/snapshot_94.png, 511203, -768.053, -1247.07, 141.111, 34.7118, 0.743367, 0.816433
12.8092, ftl-3/snapshot_95.png, 511214, -791.69, -1211.77, 141.767, 35.2224, 0.730329, 0.721686
12.9368, ftl-3/snapshot_96.png, 511231, -828.216, -1159.86, 142.468, 35.6009, 0.871243, 0.829667
13.0736, ftl-3/snapshot_97.png, 511245, -857.925, -1116.09, 142.897, 35.9573, 0.873025, 0.392831
13.2097, ftl-3/snapshot_98.png, 511258, -886.461, -1076.03, 143.42, 36.3329, 0.885784, 0.275217
13.3352, ftl-3/snapshot_99.png, 511271, -915.032, -1036.37, 143.914, 36.8688, 0.850969, 0.645892
13.4768, ftl-3/snapshot_100.png, 511285, -945.787, -994.102, 144.716, 36.9899, 1.19546, 0.324369
13.6038, ftl-3/snapshot_101.png, 511298, -974.603, -954.402, 144.907, 37.3696, 0.972746, 0.365421
13.7516, ftl-3/snapshot_102.png, 511313, -1008.58, -908.339, 145.368, 37.7936, 0.842454, 0.343768
13.8718, ftl-3/snapshot_103.png, 511324, -1033.37, -875.725, 145.896, 37.9369, 0.993205, 0.357258
14.0086, ftl-3/snapshot_104.png, 511338, -1065.08, -833.633, 146.654, 38.3892, 0.895796, 0.614243
14.1392, ftl-3/snapshot_105.png, 511351, -1095.34, -794.382, 147.199, 38.828, 0.826957, 0.469372
14.273, ftl-3/snapshot_106.png, 511365, -1127.95, -753.173, 147.001, 39.2109, 0.897125, 0.581884
14.4063, ftl-3/snapshot_107.png, 511378, -1158.19, -715.311, 147.75, 39.4226, 0.984989, 0.403883
14.5479, ftl-3/snapshot_108.png, 511392, -1191.46, -674.143, 148.05, 39.5161, 1.29116, 0.278778
14.6779, ftl-3/snapshot_109.png, 511405, -1222.44, -635.961, 148.6, 39.7057, 1.19581, 0.200763
14.8075, ftl-3/snapshot_110.png, 511418, -1253.18, -598.091, 148.823, 39.8263, 1.23862, 0.254826
14.9482, ftl-3/snapshot_111.png, 511432, -1285.63, -557.639, 149.239, 39.9849, 1.28833, 0.348015
15.0728, ftl-3/snapshot_112.png, 511445, -1316.52, -519.723, 149.539, 40.098, 1.14704, 0.345585
15.2053, ftl-3/snapshot_113.png, 511458, -1347.39, -482.405, 149.833, 40.2202, 1.1913, 0.424551
15.3608, ftl-3/snapshot_114.png, 511473, -1383.3, -439.268, 150.47, 40.3653, 1.23705, 0.336287
15.4824, ftl-3/snapshot_115.png, 511486, -1414.05, -402.328, 150.67, 40.5917, 1.17797, 0.418455
15.6155, ftl-3/snapshot_116.png, 511499, -1444.43, -364.606, 151.549, 40.9097, 0.93773, 0.568996
15.7474, ftl-3/snapshot_117.png, 511512, -1476.66, -327.101, 152.239, 41.1342, 1.27313, 1.43292
15.878, ftl-3/snapshot_118.png, 511525, -1507.3, -291.283, 153.647, 41.9618, 1.26062, 1.73509
16.0162, ftl-3/snapshot_119.png, 511539, -1542.62, -250.365, 155.221, 41.952, 1.50619, 2.15144
16.149, ftl-3/snapshot_120.png, 511552, -1574.91, -213.639, 155.321, 42.0871, 2.10501, 1.69075
16.2734, ftl-3/snapshot_121.png, 511565, -1607.52, -177.681, 155.83, 42.416, 2.44069, 1.2649
16.4136, ftl-3/snapshot_122.png, 511579, -1674.63, -122.636, 140.366, 43.7034, 0.732773, 0.324877
16.55, ftl-3/snapshot_123.png, 511592, -1708.46, -86.0141, 140.832, 44.2535, 0.54624, 0.515303
16.6799, ftl-3/snapshot_124.png, 511605, -1744.54, -48.9222, 140.112, 44.8004, 0.21528, 0.67755
16.8125, ftl-3/snapshot_125.png, 511619, -1779.27, -11.6737, 141.954, 45.1943, 0.922497, 0.389295
16.9493, ftl-3/snapshot_126.png, 511632, -1813.74, 23.9241, 142.261, 45.6237, 0.950775, 0.525687
17.0804, ftl-3/snapshot_127.png, 511645, -1814.74, 45.4555, 158.226, 43.6552, 2.03376, 1.58705
17.216, ftl-3/snapshot_128.png, 511659, -1851.45, 82.0852, 159.496, 43.7013, 1.73669, 1.96795
17.3454, ftl-3/snapshot_129.png, 511672, -1885.59, 115.944, 160.279, 44.3284, 1.41433, 1.43017
17.4763, ftl-3/snapshot_130.png, 511685, -1924.36, 148.77, 159.534, 44.5098, 1.732, 1.05397
17.6138, ftl-3/snapshot_131.png, 511699, -1957, 183.932, 158.965, 35.6938, 1.67662, 0.255185
17.7503, ftl-3/snapshot_132.png, 511712, -1973.15, 223.161, 161.404, 23.6871, 1.07358, 0.00165236
17.8837, ftl-3/snapshot_133.png, 511726, -1997.98, 267.692, 159.575, 20.2146, 1.06649, -0.000650624
18.0134, ftl-3/snapshot_134.png, 511739, -2013.88, 313.229, 160.056, 20.1191, 1.12025, -0.131614
18.1488, ftl-3/snapshot_135.png, 511752, -2030.75, 358.496, 159.8, 20.4358, 0.911908, -0.12911
18.2765, ftl-3/snapshot_136.png, 511765, -2043.64, 402.685, 160.639, 15.6468, 0.714286, -0.0776018
18.4107, ftl-3/snapshot_137.png, 511779, -2051.07, 441.046, 160.441, 1.2711, 0.388055, -0.306317
18.5508, ftl-3/snapshot_138.png, 511793, -2050.65, 459.566, 160.898, -14.0442, -0.0692746, 0.0215439
18.6812, ftl-3/snapshot_139.png, 511806, -2052.19, 463.149, 160.661, -23.0977, -0.193905, 0.0519608
18.8107, ftl-3/snapshot_140.png, 511818, -2052.92, 463.183, 160.792, -23.6519, 0.0325596, 0.549433
18.951, ftl-3/snapshot_141.png, 511828, -2052.92, 463.191, 160.793, -23.6678, 0.0376232, 0.546495
19.0835, ftl-3/snapshot_142.png, 511838, -2052.83, 463.091, 160.59, -23.57, -0.10345, 0.014411
19.212, ftl-3/snapshot_143.png, 511849, -2045.73, 474.403, 160.346, -28.0793, -0.268797, 0.271184
19.3463, ftl-3/snapshot_144.png, 511869, -2021.27, 507.954, 159.759, -42.2444, -0.27935, 0.464513
19.4788, ftl-3/snapshot_145.png, 511879, -2004.64, 523.203, 159.623, -49.9587, -0.272788, 0.575649
19.6171, ftl-3/snapshot_146.png, 511889, -1986.72, 535.98, 159.274, -57.8224, 0.0209989, 0.787972
19.7463, ftl-3/snapshot_147.png, 511910, -1944.56, 553.286, 159.131, -73.8025, -0.396319, 0.798882
19.8758, ftl-3/snapshot_148.png, 511925, -1928.58, 560.191, 159.069, -79.3863, -1.2959, 0.370088
20.0179, ftl-3/snapshot_149.png, 511939, -1928.68, 560.192, 159.065, -79.4501, -1.24069, 0.356362
20.1447, ftl-3/snapshot_150.png, 511952, -1928.66, 559.646, 158.731, -79.7269, -1.00569, 0.390338
20.2818, ftl-3/snapshot_151.png, 511966, -1899.7, 562.136, 159.127, -80.7085, -0.818883, 0.257688
20.4114, ftl-3/snapshot_152.png, 511979, -1858.81, 568.296, 158.042, -80.921, -0.886767, 0.446063
20.5516, ftl-3/snapshot_153.png, 511993, -1821.11, 574.009, 157.175, -80.5749, -1.37676, 0.457449
20.6778, ftl-3/snapshot_154.png, 512005, -1782.82, 580.507, 160.029, -80.2114, -1.7069, 0.128218
20.8231, ftl-3/snapshot_155.png, 512020, -1746.9, 585.771, 159.407, -81.9291, -1.65811, 0.397184
20.9443, ftl-3/snapshot_156.png, 512023, -1740.92, 586.125, 159, -84.4049, -1.39846, 0.330445
21.0804, ftl-3/snapshot_157.png, 512043, -1691.16, 584.253, 157.468, -98.1648, 0.392287, 0.827699
21.2144, ftl-3/snapshot_158.png, 512053, -1667.46, 580.273, 157.173, -98.5183, -0.519914, 0.948156
21.3509, ftl-3/snapshot_159.png, 512064, -1639.02, 576.453, 157.217, -98.4856, -0.351745, 0.704866
21.4862, ftl-3/snapshot_160.png, 512084, -1590.2, 568.171, 156.257, -98.2144, -0.931469, 1.01517
21.6167, ftl-3/snapshot_161.png, 512094, -1566.64, 564.805, 155.507, -98.3031, -0.592049, 0.77874
21.751, ftl-3/snapshot_162.png, 512104, -1541.8, 560.903, 155.097, -98.038, -0.40806, 0.777841
21.8913, ftl-3/snapshot_163.png, 512127, -1488.32, 551.439, 152.823, -97.9678, -0.247488, 1.2479
22.0118, ftl-3/snapshot_164.png, 512139, -1458.45, 546.828, 151.948, -97.9312, 0.0683406, 1.00338
22.1523, ftl-3/snapshot_165.png, 512153, -1423.45, 541.15, 151.154, -97.9362, -0.145827, 0.988519
22.288, ftl-3/snapshot_166.png, 512166, -1379.15, 533.948, 150.692, -98.0399, -0.197567, 0.798091
22.418, ftl-3/snapshot_167.png, 512179, -1329.63, 526.159, 149.952, -97.863, -0.350082, 1.03367
22.5556, ftl-3/snapshot_168.png, 512193, -1273.51, 518.008, 148.561, -97.5961, 0.0212098, 0.889382
22.6867, ftl-3/snapshot_169.png, 512206, -1218.92, 511.119, 148.727, -96.7522, -0.359761, 0.639828
22.8077, ftl-3/snapshot_170.png, 512218, -1171.26, 503.843, 147.773, -101.067, -0.37468, 0.624821
22.9492, ftl-3/snapshot_171.png, 512227, -1139.71, 495.296, 146.367, -109.246, -0.305128, 0.939708
23.0811, ftl-3/snapshot_172.png, 512238, -1094.63, 480.6, 146.747, -110.646, -0.451167, 0.847849
23.2251, ftl-3/snapshot_173.png, 512258, -1016.42, 449.937, 145.493, -110.661, -0.604193, 0.926903
23.3561, ftl-3/snapshot_174.png, 512268, -978.459, 434.088, 143.726, -110.817, 0.261742, 1.02236
23.4876, ftl-3/snapshot_175.png, 512279, -934.921, 417.305, 143.21, -110.804, -0.0532332, 0.951792
23.6164, ftl-3/snapshot_176.png, 512289, -895.486, 402.467, 141.736, -110.65, -0.183468, 1.3438
23.7552, ftl-3/snapshot_177.png, 512309, -814.487, 372.281, 141.041, -109.723, 0.435481, 1.14011
23.8876, ftl-3/snapshot_178.png, 512326, -747.789, 348.378, 139.705, -109.197, -0.409747, 1.42152
