X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
137.452, -415.055, 120.046, 79.9506, 2.00327, 0.70253, image00001.jpg, 132.015232, 895388, 79.750000, -3.625000, -3.812500
137.426, -414.997, 119.976, 79.9222, 1.97785, 0.652444, image00002.jpg, 263.094656, 895401, 79.750000, -3.562500, -3.937500
136.756, -414.869, 119.975, 80.0246, 1.97784, 0.756145, image00003.jpg, 393.068992, 895414, 79.625000, -3.437500, -4.000000
113.87, -411.47, 120.345, 79.9806, 2.21331, 0.854739, image00004.jpg, 522.219200, 895427, 79.687500, -3.375000, -4.062500
76.2609, -405.959, 121.218, 79.9932, 2.16819, 0.754288, image00005.jpg, 654.017696, 895440, 79.687500, -3.437500, -4.000000
43.6869, -400.649, 125.801, 80.4533, 2.46521, 3.6422, image00006.jpg, 790.112512, 895453, 79.250000, -0.625000, -3.937500
18.3734, -397.328, 128.354, 80.537, 2.78552, 5.42186, image00007.jpg, 890.664576, 895462, 79.125000, 1.187500, -3.875000
-15.5374, -392.767, 130.312, 80.7453, 2.50832, 6.40336, image00008.jpg, 1021.917920, 895473, 79.000000, 2.625000, -3.812500
-44.6006, -389.014, 133.686, 80.6955, 3.01253, 8.81125, image00009.jpg, 1152.380672, 895483, 78.875000, 5.312500, -3.875000
-75.1537, -384.712, 136.622, 80.8749, 2.86945, 10.0511, image00010.jpg, 1253.552096, 895493, 78.875000, 4.937500, -4.125000
-107.513, -379.813, 141.421, 80.6238, 2.5497, 8.31017, image00011.jpg, 1384.722176, 895503, 78.812500, 2.187500, -5.000000
-188.057, -369.182, 143.725, 81.2876, 1.44243, 2.72713, image00012.jpg, 1515.272032, 895524, 78.437500, -2.062500, -4.750000
-233.668, -363.579, 144.185, 81.5776, 0.844613, -2.30886, image00013.jpg, 1645.117152, 895534, 77.875000, -8.437500, -4.937500
-281.231, -359.717, 143.357, 82.1784, 0.917359, -6.80775, image00014.jpg, 1776.595456, 895544, 77.500000, -12.812500, -4.500000
-332.652, -354.28, 139.943, 82.4998, 0.901923, -7.98882, image00015.jpg, 1907.170080, 895556, 77.250000, -10.375000, -4.375000
-410.008, -346.811, 134.568, 82.6201, 1.60272, -2.57466, image00016.jpg, 2036.978016, 895578, 77.062500, -6.875000, -4.250000
-455.441, -342.827, 130.322, 82.6592, 2.20922, 1.23667, image00017.jpg, 2167.505536, 895591, 77.000000, -3.062500, -4.125000
