X [mm], Y [mm], Z [mm], Heading [degrees], Pitch [degrees], Roll [degrees], Filename, Timestamp [ms], Frame, IMU yaw [degrees], IMU pitch [degrees], IMU roll [degrees]
1607.4, -50.0293, 96.3648, 92.2042, 2.15465, 1.27074, image00001.jpg, 132.677280, 181446, 168.250000, -2.937500, -4.375000
1607.46, -50.0212, 96.3643, 92.2011, 2.12175, 1.25549, image00002.jpg, 246.833920, 181456, 168.250000, -2.937500, -4.375000
1607.47, -50.0306, 96.3699, 92.2048, 2.11961, 1.24849, image00003.jpg, 353.319744, 181467, 168.250000, -2.937500, -4.375000
1607.46, -50.0165, 96.3534, 92.2055, 2.11735, 1.25682, image00004.jpg, 455.586464, 181477, 168.250000, -2.937500, -4.375000
1607.44, -50.0237, 96.3713, 92.1982, 2.12035, 1.25239, image00005.jpg, 558.523744, 181487, 168.250000, -2.937500, -4.375000
1607.45, -50.0415, 96.3685, 92.204, 2.12353, 1.25846, image00006.jpg, 661.339328, 181497, 168.250000, -2.937500, -4.375000
1607.43, -50.0417, 96.3701, 92.2049, 2.12295, 1.26061, image00007.jpg, 762.377152, 181508, 168.250000, -2.937500, -4.375000
1607.42, -50.0334, 96.3637, 92.2075, 2.12215, 1.25273, image00008.jpg, 862.627936, 181518, 168.250000, -2.937500, -4.375000
1607.44, -50.0325, 96.3681, 92.1977, 2.12588, 1.25505, image00009.jpg, 963.840896, 181528, 168.250000, -2.937500, -4.375000
1607.45, -50.0328, 96.3595, 92.1942, 2.15663, 1.26955, image00010.jpg, 1092.707200, 181538, 168.250000, -2.937500, -4.375000
1607.35, -50.0197, 96.3195, 92.1974, 2.04212, 1.24657, image00011.jpg, 1221.753312, 181550, 168.437500, -2.937500, -4.375000
1574.42, -51.434, 96.6827, 91.9517, 1.47812, 1.10445, image00012.jpg, 1353.083616, 181573, 168.562500, -3.000000, -4.437500
1541.78, -53.578, 97.084, 91.9332, 1.494, 0.934909, image00013.jpg, 1482.132288, 181586, 168.562500, -3.187500, -4.500000
1505, -55.4556, 97.9984, 91.8462, 1.50211, 1.09064, image00014.jpg, 1612.314400, 181599, 168.625000, -3.187500, -4.562500
1466.39, -58.2267, 98.3613, 91.83, 1.7721, 1.11856, image00015.jpg, 1742.065408, 181612, 168.500000, -3.187500, -4.500000
1435.82, -60.2222, 98.8872, 92.1031, 1.28219, 1.16231, image00016.jpg, 1842.457984, 181622, 168.437500, -3.125000, -4.500000
1404.55, -62.741, 99.1777, 92.1512, 1.21878, 0.985534, image00017.jpg, 1943.571872, 181632, 168.375000, -3.250000, -4.562500
1363.98, -67.7269, 99.4308, 99.3696, 1.71464, 1.53697, image00018.jpg, 2073.239040, 181645, 162.437500, -2.812500, -4.750000
1322, -76.39, 100.223, 102.462, 1.3611, 1.26252, image00019.jpg, 2203.539328, 181658, 158.312500, -2.375000, -4.687500
1281.2, -86.3345, 100.961, 103.157, 1.2482, 1.23398, image00020.jpg, 2333.248224, 181671, 157.625000, -2.250000, -4.812500
1250.01, -95.1396, 101.251, 103.15, 1.54282, 1.41717, image00021.jpg, 2433.902560, 181681, 157.375000, -2.312500, -4.750000
1209.23, -106.123, 101.842, 103.37, 1.64365, 1.39941, image00022.jpg, 2564.487136, 181694, 157.187500, -2.187500, -4.750000
1178.33, -114.701, 102.312, 103.451, 1.69943, 1.64993, image00023.jpg, 2664.700928, 181704, 157.125000, -2.187500, -4.562500
1137.7, -125.819, 102.976, 103.648, 1.59794, 1.6382, image00024.jpg, 2794.417280, 181717, 156.937500, -2.125000, -4.562500
1097.01, -137.259, 103.755, 103.953, 1.56293, 1.61434, image00025.jpg, 2924.685888, 181730, 156.562500, -2.000000, -4.687500
1056.61, -149.013, 104.588, 104.195, 1.62719, 1.76491, image00026.jpg, 3053.814144, 181743, 156.375000, -1.875000, -4.625000
1016.3, -160.786, 105.087, 104.359, 1.39986, 1.91442, image00027.jpg, 3184.006496, 181756, 156.250000, -1.750000, -4.500000
975.865, -172.694, 105.88, 104.416, 1.72365, 1.88659, image00028.jpg, 3314.033568, 181769, 156.125000, -1.812500, -4.375000
936.106, -184.082, 106.688, 104.817, 1.47594, 1.75103, image00029.jpg, 3442.437248, 181782, 156.062500, -1.875000, -4.500000
895.423, -195.896, 107.383, 104.19, 1.93588, 1.87752, image00030.jpg, 3572.925504, 181795, 156.187500, -2.062500, -4.562500
856.614, -207.211, 108.101, 104.271, 1.85628, 1.70764, image00031.jpg, 3702.856416, 181808, 156.250000, -2.000000, -4.562500
817.724, -218.275, 108.735, 104.209, 1.73717, 1.72557, image00032.jpg, 3832.907200, 181821, 156.437500, -2.062500, -4.500000
778.321, -229.304, 109.446, 104.256, 1.3468, 1.54024, image00033.jpg, 3963.060128, 181834, 156.500000, -2.125000, -4.625000
745.983, -238.359, 109.904, 104.454, 1.30358, 1.64611, image00034.jpg, 4092.678752, 181845, 156.250000, -2.000000, -4.750000
703.298, -250.808, 110.683, 104.673, 1.15468, 1.59649, image00035.jpg, 4223.085312, 181860, 156.125000, -2.000000, -4.812500
666.929, -261.785, 111.029, 104.713, 1.59987, 1.9255, image00036.jpg, 4354.003232, 181873, 156.062500, -1.875000, -4.625000
630.389, -272.566, 111.959, 104.823, 1.6997, 1.82172, image00037.jpg, 4485.418208, 181886, 155.937500, -1.937500, -4.687500
